time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm)
2534.5,0.50,1.2417e-06
2534.5,1.50,2.3100e-05
2534.5,2.50,1.6541e-05
2534.5,3.50,8.4232e-06
2534.5,4.50,2.1651e-05
2534.5,5.50,1.8681e-05
2534.5,6.50,2.8823e-05
2534.5,7.50,1.8886e-05
2534.5,8.50,1.4313e-05
2534.5,9.50,1.4098e-05
2534.5,10.50,1.0100e-05
2534.5,11.50,8.6938e-06
2534.5,12.50,5.6311e-06
2534.5,13.50,8.8796e-06
2534.5,14.50,5.6283e-06
2534.5,15.50,3.7999e-05
2534.5,16.50,8.1021e-05
2534.5,17.50,0.00020538
2534.5,18.50,0.00012964
2534.5,19.50,7.5450e-05
2534.5,20.50,6.5052e-05
2534.5,21.50,7.0539e-05
2534.5,22.50,4.1966e-05
2534.5,23.50,2.4961e-05
2534.5,24.50,3.0965e-05
2534.5,25.50,4.7406e-05
2534.5,26.50,1.8471e-05
2534.5,27.50,5.1496e-05
2534.5,28.50,4.0720e-05
2534.5,29.50,1.7422e-05
2534.5,30.50,0.00034404
2534.5,31.50,4.8852e-05
2534.5,32.50,1.1562e-05
2534.5,33.50,3.0024e-05
2534.5,34.50,2.7237e-05
2534.5,35.50,3.2695e-05
2534.5,36.50,4.5132e-05
2534.5,37.50,7.6179e-06
2534.5,38.50,5.8084e-06
2534.5,39.50,4.8341e-06
2534.5,115.50,1.5413e-05
2534.5,116.50,2.1562e-05
2534.5,117.50,7.6689e-05
2534.5,118.50,2.9322e-05
2534.5,119.50,4.9719e-05
2534.5,120.50,0.00013602
2534.5,121.50,0.0060571
2534.5,122.50,6.1960e-05
2534.5,123.50,3.9210e-05
2534.5,124.50,2.7958e-05
2534.5,125.50,2.5595e-05
2534.5,126.50,3.4174e-05
2534.5,127.50,1.8076e-05
2534.5,128.50,1.3908e-05
2534.5,129.50,1.5773e-05
2534.5,130.50,0.00014820
2534.5,131.50,2.3630e-05
2534.5,132.50,1.8182e-05
2534.5,133.50,0.00016980
2534.5,134.50,1.6984e-05
2534.5,135.50,3.9403e-05
2534.5,136.50,2.5046e-05
2534.5,137.50,2.6336e-05
2534.5,138.50,2.6168e-05
2534.5,139.50,6.8482e-05
2534.5,140.50,5.9339e-05
2534.5,141.50,3.7032e-05
2534.5,142.50,4.0724e-05
2534.5,143.50,4.5652e-05
2534.5,144.50,4.5394e-05
2534.5,145.50,4.7524e-05
2534.5,146.50,5.8585e-05
2534.5,147.50,7.4727e-05
2534.5,148.50,7.6693e-05
